/* DATA DESCRIPTION:
Citation:	Freitag, Johannes; Kipfstuhl, Sepp; Weißbach, Stefanie; Karlsson, Nanna Bjørnholt; Münch, Thomas; Hörhold, Maria (2021): Stable oxygen isotope profile of the NGRIP_2012 firn core [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.931731, 
	In: Freitag, J et al. (2021): Extension of the stable oxygen isotope and density profile of the NGRIP ice core [dataset bundled publication]. PANGAEA, https://doi.org/10.1594/PANGAEA.931746
Abstract:	Stable oxygen isotopes (δ18O) were measured on discrete samples using Cavity Ring-Down spectroscopy with an L2120-i and L2130-i by Picarro Instruments. The δ18O concentration with depth is provided with a precision of better than 0.1 per mil.
Keyword(s):	firn core; North Greenland Traverse; stable water isotopes
Project(s):	Glaciology @ AWI (AWI_Glac) (URI: https://www.awi.de/en/science/geosciences/glaciology.html)
	North Greenland Eemian Ice Drilling (NEEM) (URI: https://neem.dk/)
	Polar Terrestrial Environmental Systems @ AWI (AWI_Envi) (URI: https://www.awi.de/en/science/geosciences/polar-terrestrial-environmental-systems.html)
Funding:	Agence Nationale de la Recherche (ANR) (URI: http://www.agence-nationale-recherche.fr/en/project-based-funding-to-advance-french-research/), grant/award no. 07-VULN-09-001: North Greenland Eemian Ice Drilling
Coverage:	LATITUDE: 75.016666 * LONGITUDE: -42.533331
	MINIMUM DEPTH, ice/snow: 0.015000000 m * MAXIMUM DEPTH, ice/snow: 16.987804880 m
Event(s):	NGRIP_2012 * LATITUDE: 75.016666 * LONGITUDE: -42.533331 * ELEVATION: 2917.0 m * LOCATION: Greenland * CAMPAIGN: GL-Land_2012_NEEM12_NGT12 (URI: https://download.pangaea.de/reference/109684/attachments/Field_season_report_2012.pdf) * BASIS: AWI Arctic Land Expedition * METHOD/DEVICE: Firn corer (FIRNC) * COMMENT: NGRIP continuation, year 2012
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE * PI: Freitag, Johannes (https://orcid.org/0000-0003-2654-9440, Johannes.Freitag@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/johannes-freitag.html) * COMMENT: center
	δ18O, water [‰ SMOW] (δ18O H2O) * PI: Freitag, Johannes (https://orcid.org/0000-0003-2654-9440, Johannes.Freitag@awi.de, https://www.awi.de/en/about-us/organisation/staff/single-view/johannes-freitag.html) * METHOD/DEVICE: Cavity ring-down spectroscopy (CRDS)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	651 data points
*/
Depth ice/snow [m]	δ18O H2O [‰ SMOW]
0.015000000	-34.610000
0.045000000	-38.850000
0.075000000	-42.170000
0.105000000	-42.880000
0.135000000	-40.820000
0.165000000	-39.100000
0.195000000	-38.410000
0.225000000	-38.780000
0.255000000	-37.080000
0.285000000	-33.800000
0.315000000	-29.750000
0.345000000	-29.480000
0.375000000	-29.240000
0.405000000	-29.010000
0.435000000	-29.580000
0.465000000	-31.500000
0.495000000	-34.760000
0.525000000	-38.400000
0.555000000	-41.270000
0.585000000	-41.690000
0.615000000	-40.300000
0.645000000	-38.440000
0.675000000	-36.920000
0.705000000	-35.320000
0.735000000	-33.550000
0.771666667	-30.710000
0.798333333	-28.340000
0.825000000	-26.810000
0.851666667	-26.610000
0.878333333	-27.810000
0.905000000	-29.170000
0.931666667	-29.980000
0.958333333	-29.880000
0.985000000	-29.080000
1.011666667	-27.590000
1.038333333	-26.760000
1.065000000	-26.370000
1.091666667	-26.170000
1.118333333	-26.230000
1.145000000	-26.530000
1.171666667	-27.780000
1.198333333	-29.300000
1.226562500	-31.580000
1.254687500	-33.100000
1.282812500	-34.560000
1.310937500	-35.310000
1.339062500	-35.470000
1.367187500	-35.580000
1.395312500	-35.970000
1.423437500	-36.030000
1.451562500	-36.920000
1.479687500	-37.190000
1.507812500	-36.910000
1.535937500	-36.110000
1.564062500	-34.340000
1.592187500	-32.560000
1.620312500	-31.050000
1.648437500	-31.680000
1.676562500	-33.190000
1.704687500	-35.420000
1.732812500	-37.140000
1.760937500	-38.070000
1.789062500	-38.920000
1.817187500	-38.890000
1.845312500	-38.350000
1.873437500	-37.520000
1.901562500	-36.130000
1.929687500	-34.370000
1.957812500	-32.090000
1.985937500	-32.120000
2.013888889	-36.180000
2.041666667	-36.940000
2.069444444	-37.900000
2.097222222	-39.710000
2.125000000	-40.170000
2.152777778	-40.710000
2.180555556	-40.160000
2.208333333	-39.390000
2.236111111	-38.580000
2.263888889	-37.780000
2.291666667	-36.680000
2.319444444	-36.060000
2.347222222	-34.560000
2.375000000	-33.650000
2.402777778	-33.200000
2.430555556	-35.530000
2.458333333	-36.470000
2.486111111	-37.800000
2.513888889	-38.240000
2.541666667	-38.800000
2.569444444	-38.420000
2.597222222	-37.320000
2.625000000	-35.840000
2.652777778	-34.720000
2.680555556	-33.660000
2.708333333	-32.900000
2.736111111	-33.300000
2.763888889	-34.130000
2.791666667	-35.540000
2.819444444	-36.350000
2.847222222	-36.980000
2.875000000	-36.890000
2.902777778	-36.610000
2.930555556	-36.070000
2.958333333	-35.650000
2.986111111	-35.150000
3.025000000	-32.590000
3.064758065	-31.030000
3.094274194	-30.790000
3.123790323	-30.700000
3.153306452	-31.030000
3.182822581	-31.660000
3.212338710	-32.330000
3.241854839	-33.630000
3.271370968	-35.120000
3.300887097	-36.850000
3.330403226	-39.070000
3.359919355	-39.600000
3.389435484	-39.380000
3.418951613	-38.290000
3.448467742	-36.800000
3.477983871	-35.400000
3.507500000	-34.260000
3.537016129	-33.330000
3.566532258	-32.330000
3.596048387	-31.670000
3.625564516	-32.180000
3.655080645	-33.120000
3.684596774	-34.350000
3.714112903	-35.460000
3.743629032	-36.130000
3.773145161	-36.440000
3.802661290	-36.450000
3.832177419	-35.980000
3.861693548	-35.340000
3.891209677	-34.780000
3.920725806	-34.160000
3.952983871	-33.000000
3.985241935	-31.800000
4.013888889	-31.310000
4.041666667	-31.120000
4.069444444	-31.210000
4.097222222	-31.500000
4.125000000	-31.940000
4.152777778	-32.490000
4.180555556	-33.360000
4.208333333	-34.600000
4.236111111	-35.730000
4.263888889	-36.320000
4.291666667	-36.410000
4.319444444	-36.160000
4.347222222	-35.430000
4.375000000	-34.350000
4.402777778	-33.450000
4.430555556	-32.280000
4.458333333	-31.700000
4.486111111	-31.260000
4.513888889	-31.190000
4.541666667	-31.140000
4.569444444	-33.120000
4.597222222	-33.950000
4.625000000	-34.970000
4.652777778	-35.640000
4.680555556	-36.070000
4.708333333	-36.350000
4.736111111	-36.600000
4.763888889	-36.570000
4.791666667	-36.190000
4.819444444	-35.110000
4.847222222	-34.260000
4.875000000	-33.440000
4.902777778	-33.190000
4.930555556	-33.130000
4.958333333	-33.320000
4.986111111	-33.910000
5.013513514	-35.120000
5.040540541	-36.020000
5.067567568	-36.330000
5.094594595	-36.560000
5.121621622	-36.740000
5.148648649	-36.570000
5.175675676	-35.860000
5.202702703	-35.220000
5.229729730	-34.080000
5.256756757	-33.670000
5.283783784	-32.860000
5.310810811	-32.910000
5.337837838	-32.580000
5.364864865	-32.820000
5.391891892	-33.030000
5.418918919	-33.620000
5.445945946	-34.490000
5.472972973	-35.520000
5.500000000	-36.960000
5.527027027	-37.900000
5.554054054	-38.210000
5.581081081	-38.130000
5.608108108	-37.460000
5.635135135	-36.880000
5.662162162	-36.000000
5.689189189	-34.800000
5.716216216	-33.600000
5.743243243	-32.810000
5.770270270	-31.860000
5.797297297	-31.440000
5.824324324	-31.460000
5.851351351	-32.140000
5.878378378	-33.080000
5.905405405	-34.170000
5.932432432	-35.350000
5.959459459	-36.010000
5.986486486	-35.900000
6.013513514	-36.150000
6.040540541	-35.810000
6.067567568	-35.220000
6.094594595	-34.230000
6.121621622	-33.200000
6.148648649	-32.580000
6.175675676	-32.390000
6.202702703	-32.810000
6.229729730	-33.720000
6.256756757	-34.810000
6.283783784	-35.930000
6.310810811	-36.570000
6.337837838	-36.830000
6.364864865	-36.770000
6.391891892	-36.380000
6.418918919	-35.830000
6.445945946	-35.320000
6.472972973	-34.490000
6.500000000	-33.730000
6.527027027	-32.880000
6.554054054	-32.370000
6.581081081	-32.440000
6.608108108	-32.900000
6.635135135	-33.980000
6.662162162	-35.180000
6.689189189	-36.240000
6.716216216	-37.470000
6.743243243	-38.250000
6.770270270	-38.650000
6.797297297	-38.700000
6.824324324	-38.740000
6.851351351	-38.330000
6.878378378	-38.010000
6.905405405	-37.100000
6.932432432	-36.400000
6.959459459	-35.470000
6.986486486	-35.170000
7.010101010	-35.500000
7.026767677	-35.700000
7.045959596	-36.130000
7.067171717	-36.710000
7.088383838	-37.520000
7.112626263	-38.000000
7.132828283	-38.480000
7.151515152	-38.740000
7.176767677	-38.540000
7.204545455	-38.330000
7.229797980	-37.970000
7.252525253	-37.260000
7.272727273	-36.620000
7.292929293	-36.110000
7.313131313	-35.450000
7.333333333	-34.590000
7.353535354	-33.530000
7.378787879	-32.390000
7.406565657	-31.510000
7.431818182	-30.940000
7.454545455	-31.040000
7.474747475	-31.400000
7.494949495	-32.270000
7.515151515	-33.170000
7.535353535	-34.390000
7.555555556	-35.720000
7.578282828	-37.170000
7.608585859	-38.890000
7.636363636	-40.010000
7.656565657	-40.320000
7.676767677	-40.390000
7.696969697	-39.920000
7.717171717	-39.440000
7.734848485	-38.520000
7.752525253	-37.750000
7.771212121	-37.280000
7.793939394	-36.210000
7.818181818	-35.150000
7.838383838	-34.200000
7.858585859	-33.750000
7.878787879	-33.140000
7.898989899	-32.700000
7.919191919	-32.570000
7.939393939	-32.600000
7.959595960	-33.010000
7.984848485	-34.000000
8.013513514	-35.980000
8.040540541	-37.340000
8.067567568	-38.300000
8.094594595	-38.840000
8.121621622	-38.510000
8.148648649	-37.860000
8.175675676	-36.740000
8.229729730	-35.980000
8.256756757	-36.230000
8.283783784	-36.870000
8.310810811	-37.660000
8.337837838	-38.010000
8.364864865	-38.100000
8.391891892	-37.410000
8.418918919	-36.620000
8.445945946	-35.900000
8.472972973	-35.290000
8.500000000	-34.870000
8.527027027	-34.810000
8.554054054	-34.870000
8.581081081	-35.200000
8.608108108	-36.300000
8.635135135	-37.400000
8.662162162	-38.570000
8.689189189	-39.350000
8.716216216	-39.680000
8.743243243	-39.550000
8.770270270	-38.860000
8.797297297	-37.390000
8.824324324	-35.990000
8.851351351	-34.330000
8.878378378	-32.590000
8.905405405	-31.360000
8.932432432	-31.100000
8.959459459	-31.540000
8.986486486	-32.220000
9.012500000	-33.880000
9.037500000	-35.020000
9.062500000	-35.900000
9.087500000	-36.180000
9.112500000	-36.150000
9.137500000	-35.580000
9.162500000	-34.890000
9.187500000	-33.960000
9.212500000	-33.120000
9.237500000	-32.550000
9.262500000	-32.220000
9.287500000	-32.340000
9.312500000	-32.910000
9.337500000	-33.560000
9.362500000	-33.930000
9.387500000	-34.240000
9.412500000	-34.480000
9.437500000	-34.760000
9.462500000	-35.110000
9.487500000	-35.480000
9.512500000	-35.750000
9.537500000	-36.270000
9.562500000	-39.040000
9.587500000	-37.810000
9.612500000	-36.480000
9.637500000	-35.080000
9.662500000	-33.910000
9.687500000	-33.050000
9.712500000	-32.750000
9.737500000	-32.910000
9.762500000	-33.490000
9.787500000	-34.080000
9.812500000	-36.600000
9.837500000	-37.380000
9.862500000	-38.290000
9.887500000	-39.270000
9.912500000	-40.040000
9.937500000	-40.400000
9.962500000	-40.200000
9.987500000	-39.570000
10.012500000	-32.690000
10.037500000	-32.300000
10.062500000	-31.780000
10.087500000	-31.500000
10.112500000	-31.550000
10.137500000	-31.920000
10.162500000	-32.620000
10.187500000	-33.430000
10.212500000	-34.310000
10.237500000	-35.120000
10.262500000	-35.930000
10.287500000	-36.310000
10.312500000	-36.630000
10.337500000	-36.500000
10.362500000	-36.180000
10.387500000	-35.510000
10.412500000	-35.110000
10.437500000	-34.710000
10.462500000	-34.780000
10.487500000	-35.180000
10.512500000	-35.750000
10.537500000	-36.610000
10.562500000	-37.280000
10.587500000	-37.490000
10.612500000	-37.450000
10.637500000	-36.890000
10.662500000	-36.250000
10.687500000	-35.230000
10.712500000	-34.370000
10.737500000	-33.510000
10.762500000	-32.970000
10.787500000	-32.690000
10.812500000	-32.650000
10.837500000	-32.940000
10.862500000	-33.400000
10.887500000	-33.900000
10.912500000	-34.250000
10.937500000	-34.480000
10.962500000	-34.510000
10.987500000	-34.520000
11.012500000	-32.960000
11.037500000	-32.780000
11.062500000	-32.210000
11.087500000	-31.480000
11.112500000	-30.930000
11.137500000	-30.540000
11.162500000	-30.620000
11.187500000	-30.730000
11.212500000	-31.460000
11.237500000	-32.220000
11.262500000	-33.130000
11.287500000	-34.260000
11.312500000	-35.100000
11.337500000	-35.650000
11.362500000	-35.930000
11.387500000	-35.890000
11.412500000	-35.740000
11.437500000	-35.420000
11.462500000	-35.220000
11.487500000	-35.070000
11.512500000	-35.120000
11.537500000	-35.380000
11.562500000	-35.850000
11.587500000	-36.220000
11.612500000	-36.620000
11.637500000	-36.630000
11.662500000	-36.320000
11.687500000	-35.860000
11.712500000	-35.550000
11.737500000	-35.310000
11.762500000	-35.410000
11.787500000	-35.850000
11.812500000	-36.690000
11.837500000	-37.650000
11.862500000	-38.700000
11.887500000	-39.540000
11.912500000	-40.080000
11.937500000	-40.300000
11.962500000	-40.200000
11.987500000	-39.740000
12.012500000	-39.230000
12.037500000	-38.850000
12.062500000	-38.380000
12.087500000	-38.240000
12.112500000	-38.500000
12.137500000	-38.960000
12.162500000	-39.750000
12.187500000	-40.420000
12.212500000	-40.690000
12.237500000	-40.510000
12.262500000	-39.660000
12.287500000	-38.540000
12.312500000	-37.190000
12.337500000	-35.630000
12.362500000	-34.540000
12.387500000	-33.480000
12.412500000	-32.760000
12.437500000	-32.520000
12.462500000	-32.430000
12.487500000	-32.770000
12.512500000	-33.160000
12.537500000	-33.740000
12.562500000	-34.310000
12.587500000	-34.920000
12.612500000	-35.350000
12.637500000	-35.520000
12.662500000	-35.670000
12.687500000	-35.770000
12.712500000	-36.110000
12.737500000	-36.430000
12.762500000	-36.920000
12.787500000	-37.540000
12.812500000	-38.250000
12.837500000	-38.650000
12.862500000	-38.710000
12.887500000	-38.940000
12.912500000	-38.510000
12.937500000	-38.090000
12.962500000	-37.580000
12.987500000	-37.070000
13.012500000	-36.030000
13.037500000	-35.470000
13.062500000	-34.790000
13.087500000	-34.230000
13.112500000	-33.720000
13.137500000	-33.600000
13.162500000	-33.570000
13.187500000	-34.150000
13.212500000	-34.710000
13.237500000	-35.020000
13.262500000	-35.190000
13.287500000	-34.990000
13.312500000	-34.550000
13.337500000	-34.160000
13.362500000	-33.650000
13.387500000	-33.340000
13.412500000	-33.470000
13.437500000	-33.750000
13.462500000	-34.040000
13.487500000	-34.560000
13.512500000	-35.010000
13.537500000	-35.430000
13.562500000	-35.540000
13.587500000	-35.570000
13.612500000	-35.610000
13.637500000	-35.220000
13.662500000	-34.740000
13.687500000	-34.130000
13.712500000	-33.330000
13.737500000	-32.120000
13.762500000	-32.580000
13.787500000	-31.740000
13.812500000	-31.870000
