#/* DATA DESCRIPTION:
#Citation:	Bazin, L et al. (2013): Methane measured on ice core EDML on AICC2012 chronology. doi:10.1594/PANGAEA.824884, 
#	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012). doi:10.1594/PANGAEA.824894
#Related to:	Bazin, Lucie; Landais, Amaelle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, P; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Y; Loutre, M-F; Raynaud, Dominique; Vinther, Bo M; Svensson, A; Rasmussen, Sune O; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric W (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, doi:10.5194/cp-9-1715-2013
#	Veres, Daniel; Bazin, Lucie; Landais, Amaelle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, P; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune O; Severi, Mirko; Svensson, A; Vinther, Bo M; Wolff, Eric W (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, doi:10.5194/cp-9-1733-2013
#Other version:	Icecores data on AICC2012 in Excel format (URI: hdl:10013/epic.42842.d001)
#Further details:	Barbante, Carlo; Barnola, Jean-Marc; Becagli, Silvia; Beer, Jürg; Bigler, Matthias; Boutron, Claude F; Blunier, Thomas; Castellano, Emiliano; Cattani, Olivier; Chappellaz, Jérôme A; Dahl-Jensen, Dorthe; Debret, Maxime; Delmonte, Barbara; Dick, Dorothee; Falourd, Sonia; Faria, Sérgio H; Federer, Urs; Fischer, Hubertus; Freitag, Johannes; Frenzel, Andreas; Fritzsche, Diedrich; Fundel, Felix; Gabrielli, Paolo; Gaspari, Vania; Gersonde, Rainer; Graf, Wolfgang; Grigoriev, Dimitri; Hamann, Ilka; Hansson, Margareta E; Hoffmann, Georg; Hutterli, Manuel A; Huybrechts, Philippe; Isaksson, Elisabeth; Johnsen, Sigfus J; Jouzel, Jean; Kaczmarska, Marzena; Karlin, Torbjörn; Kaufmann, Patrik R; Kipfstuhl, Sepp; Kohno, Mika; Lambert, Fabrice; Lambrecht, Anja; Lambrecht, Astrid; Landais, Amaelle; Lawer, Gunther; Leuenberger, Markus; Littot, Geneviève C; Loulergue, Laetitia; Lüthi, Dieter; Maggi, Valter; Marino, Federica; Masson-Delmotte, Valerie; Meyer, Hanno; Miller, Heinz; Mulvaney, Robert; Narcisi, Bianca #Maria; Oerlemans, Johannes; Oerter, Hans; Parrenin, Frédéric; Petit, Jean-Robert; Raisbeck, Grant; Raynaud, Dominique; Röthlisberger, Regine; Ruth, Urs; Rybak, Oleg; Severi, Mirko; Schmitt, Jochen; Schwander, Jakob; Siegenthaler, Urs; Siggaard-Andersen, Marie-Louise; Spahni, Renato; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Traversi, Rita; Udisti, Roberto; Valero-Delgado, Fernando; van den Broeke, Michiel R; van de Wal, Roderik SW; Wagenbach, Dietmar; Wegner, Anna; Weiler, Karin; Wilhelms, Frank; Winther, Jan-Gunnar; Wolff, Eric W (2006): One-to-one coupling of glacial climate variability in Greenland and Antarctica. Nature, 444, 195-198, doi:10.1038/nature05301
#	EPICA Community Members (2006): Methane and stable isotope record of ice core EDML from Dronning Maud Land, Antarctica. doi:10.1594/PANGAEA.586834
#Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: http://www.esf.org/index.php?id=855)
#Coverage:	LATITUDE: -75.002500 * LONGITUDE: 0.068400
#	DATE/TIME START: 2001-01-10T00:00:00 * DATE/TIME END: 2006-01-17T00:00:00
#	MINIMUM DEPTH, ice/snow: 116.215 m * MAXIMUM DEPTH, ice/snow: 2397.990 m
#Event(s):	EDML (DML28C01_00) * LATITUDE: -75.002500 * LONGITUDE: 0.068400 * DATE/TIME START: 2001-01-10T00:00:00 * DATE/TIME END: 2006-01-17T00:00:00 * ELEVATION: 2891.7 m * Recovery: 2774.15 m * CAMPAIGN: EPICA-Campaigns * BASIS: Kohnen Station (URI: http://www.awi.de/en/expedition/stations/kohnen-station.html) * DEVICE: EPICA drill (EDRILL) * COMMENT: Elevation is given with reference to WGS84
#Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
#	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (eMail: lucie.bazin@lsce.ipsl.fr) * COMMENT: on AICC2012
#	Methane [ppbv] (CH4) * PI: Chappellaz, Jérôme A * COMMENT: see "Further details" for the original reference of this data
#License:	Creative Commons Attribution 3.0 Unported (CC-BY)
#Size:	1656 data points
#*/
#Depth ice/snow [m]	Gas age [ka BP]	CH4 [ppbv]
116.215	0.4361750	706.700
122.215	0.5266670	701.000
134.215	0.6911880	703.700
140.215	0.7815400	695.000
145.215	0.8516290	719.000
151.215	0.9438810	682.000
157.215	1.0425900	664.000
160.015	1.0895400	677.300
163.663	1.1428800	647.200
171.015	1.2388800	637.700
171.045	1.2393100	654.700
177.678	1.3479400	629.800
182.015	1.4093200	645.300
182.045	1.4097400	647.000
187.679	1.4905700	632.300
195.015	1.5990000	641.000
200.633	1.6831400	622.400
200.678	1.6837700	638.800
208.015	1.7927300	629.000
210.678	1.8364000	624.800
219.015	1.9676100	618.700
219.045	1.9680900	627.000
223.678	2.0386300	612.700
230.015	2.0630300	604.300
230.045	2.0631300	614.300
235.678	2.1548300	615.200
243.015	2.2625300	620.300
248.632	2.3541900	604.300
259.678	2.5149800	593.900
268.015	2.6471400	597.000
268.335	2.6516600	602.000
270.632	2.6747500	584.600
270.678	2.6750200	591.500
279.015	2.8234400	586.700
279.345	2.8287800	596.700
283.678	2.8993900	588.300
285.678	2.9289800	588.300
291.045	2.9967600	618.300
307.678	3.2981900	586.600
315.015	3.4043500	588.000
319.678	3.4755000	582.000
326.015	3.5755000	580.000
331.633	3.6710200	577.300
331.678	3.6716400	638.800
339.015	3.8078600	594.000
343.678	3.8755300	589.400
352.015	4.0043400	585.300
355.678	4.0680200	562.600
363.015	4.1994100	584.700
368.678	4.2923100	576.600
375.045	4.4084400	600.300
379.678	4.4856100	571.600
388.015	4.6223600	584.700
391.678	4.6760900	546.200
399.015	4.8271100	574.300
399.045	4.8273100	570.300
403.678	4.9080200	576.600
412.015	5.0384200	561.000
415.677	5.1169500	556.400
427.678	5.3429000	563.300
434.015	5.4657100	561.500
438.678	5.5303500	568.800
448.015	5.7051700	597.300
452.615	5.8032300	577.600
458.015	5.9070600	574.700
458.045	5.9076500	586.300
458.075	5.9082500	592.000
463.675	6.0099200	557.100
471.015	6.1552400	592.000
471.045	6.1557200	587.700
471.075	6.1561900	597.000
475.675	6.2249600	590.600
484.015	6.3785200	584.700
484.045	6.3792000	587.300
487.675	6.4704100	566.800
495.015	6.6058000	611.700
500.675	6.7232200	588.300
507.015	6.8379500	624.300
511.675	6.9274400	635.000
518.015	7.0567600	616.000
518.065	7.0579800	630.300
522.665	7.1629100	610.500
531.015	7.3254400	640.700
531.075	7.3267700	624.700
536.665	7.4694200	605.800
542.015	7.5666100	607.000
547.675	7.7016000	669.900
555.015	7.9085500	610.300
559.675	8.0178300	622.600
567.015	8.1647800	596.700
567.045	8.1653300	609.300
571.675	8.2539400	628.900
580.015	8.4537700	637.000
580.045	8.4544800	639.000
583.675	8.5426600	630.900
591.015	8.6977300	650.300
595.675	8.7907100	656.400
603.015	8.9551600	655.000
603.245	8.9604800	668.000
608.675	9.0835600	656.000
615.015	9.2738400	655.000
615.045	9.2747600	651.700
619.660	9.4261800	659.900
627.015	9.6046800	681.300
631.675	9.7099500	677.500
639.015	9.8702400	693.000
639.045	9.8709000	702.700
639.585	9.8827800	694.000
643.675	9.9698100	682.700
651.015	10.0934000	693.000
651.045	10.0939000	693.700
656.675	10.1851000	667.600
663.015	10.2984000	694.300
667.165	10.3763000	709.800
667.675	10.3858000	691.300
671.165	10.4598000	670.200
675.015	10.5480000	697.000
675.045	10.5488000	713.300
675.165	10.5517000	691.100
679.165	10.6434000	706.200
679.675	10.6549000	670.700
683.165	10.7438000	672.300
686.015	10.8207000	681.000
686.025	10.8210000	670.200
692.165	10.9889000	716.800
692.675	11.0026000	672.700
695.165	11.0602000	688.200
700.015	11.1526000	698.000
700.165	11.1556000	710.700
703.165	11.2135000	674.600
703.585	11.2214000	661.200
708.165	11.3295000	680.700
711.015	11.4048000	714.700
711.165	11.4088000	728.400
716.165	11.5452000	590.300
716.615	11.5581000	622.500
719.165	11.6183000	502.300
724.015	11.7011000	474.700
724.165	11.7038000	483.900
728.165	11.7758000	470.400
728.675	11.7849000	473.100
730.165	11.8133000	482.100
735.015	11.9447000	477.700
735.165	11.9489000	533.100
738.165	12.0306000	488.500
738.670	12.0449000	470.200
742.165	12.1143000	468.400
747.015	12.1873000	464.300
747.165	12.1897000	476.200
750.675	12.2442000	466.900
751.165	12.2521000	499.500
756.275	12.3949000	487.500
759.015	12.4840000	474.000
759.045	12.4850000	468.700
759.075	12.4860000	482.700
759.165	12.4889000	458.200
762.505	12.6013000	474.300
762.675	12.6072000	484.200
767.165	12.7454000	581.800
772.015	12.9142000	672.700
772.395	12.9279000	674.200
774.165	12.9913000	633.400
775.555	13.0407000	632.100
780.165	13.1897000	647.100
783.015	13.2802000	645.000
783.165	13.2848000	654.400
787.395	13.4151000	659.500
787.675	13.4230000	661.600
791.505	13.5303000	641.400
796.015	13.6555000	644.000
796.165	13.6598000	626.900
799.275	13.7493000	626.700
799.625	13.7589000	648.000
803.165	13.8694000	612.000
809.015	14.0655000	622.700
809.165	14.0705000	606.900
812.275	14.1794000	602.900
812.615	14.1907000	611.000
815.165	14.2724000	601.300
819.015	14.3961000	646.700
819.395	14.4077000	601.500
