age	value
534000	534.178096
535000	537.049486
536000	539.800509
537000	542.219752
538000	544.355809
539000	546.273369
540000	547.856999
541000	548.943439
542000	549.561929
543000	549.345779
544000	548.171349
545000	545.890468
546000	542.306538
547000	537.330735
548000	531.147911
549000	523.807175
550000	515.658149
551000	507.217922
552000	498.883898
553000	491.298313
554000	485.055583
555000	480.615377
556000	478.419576
557000	478.824497
558000	481.837592
559000	487.498616
560000	495.449607
561000	505.324523
562000	516.347449
563000	527.916435
564000	538.981178
565000	548.821731
566000	556.557178
567000	561.600291
568000	563.474558
569000	562.171857
570000	557.714446
571000	550.676440
572000	541.687603
573000	531.603115
574000	521.365822
575000	511.942252
576000	504.136750
577000	498.692481
578000	496.150242
579000	496.778426
580000	500.592109
581000	507.500412
582000	516.840589
583000	528.101032
584000	540.177433
585000	552.108387
586000	562.659571
587000	570.845512
588000	575.576604
589000	576.376923
590000	572.820564
591000	565.133882
592000	553.854313
593000	539.863902
594000	524.354035
595000	508.589381
596000	493.900928
597000	481.376297
598000	472.094670
599000	466.604359
600000	465.441879
601000	468.510870
602000	475.701045
603000	486.345847
604000	499.628053
605000	514.460678
606000	529.633462
607000	543.785707
608000	555.857672
609000	564.751754
610000	569.840817
611000	570.924741
612000	568.061195
613000	561.824456
614000	553.060290
615000	542.702861
616000	531.887005
617000	521.594442
618000	512.729802
619000	505.883922
620000	501.633768
621000	499.978036
622000	500.980427
623000	504.290575
624000	509.455565
625000	515.815205
626000	522.779365
627000	529.522818
628000	535.493919
629000	540.144469
630000	543.090845
631000	544.175489
632000	543.496947
633000	541.166073
634000	537.567066
635000	533.158157
636000	528.280442
637000	523.402999
638000	518.883257
639000	514.851775
640000	511.556248
641000	509.002344
642000	507.130718
643000	505.900601
644000	505.263640
645000	505.064805
646000	505.330925
647000	506.127165
648000	507.351949
649000	509.282090
650000	511.929395
651000	515.337035
652000	519.632766
653000	524.763237
654000	530.472297
655000	536.687511
656000	542.953830
657000	548.790690
658000	553.823059
659000	557.460756
660000	559.220687
661000	558.841873
662000	556.146858
663000	550.986257
664000	543.863530
665000	535.034703
666000	525.121212
667000	515.033326
668000	505.360795
669000	496.947350
670000	490.533099
671000	486.575083
672000	485.374411
673000	487.249758
674000	491.872343
675000	499.006210
676000	508.110987
677000	518.360541
678000	528.797691
679000	538.681440
680000	546.787818
681000	552.500940
682000	555.289795
683000	554.700506
684000	550.950244
685000	544.412855
686000	535.682318
687000	525.696063
688000	515.486199
689000	505.935436
690000	497.996400
691000	492.518000
692000	489.865735
693000	490.468565
694000	494.399548
695000	501.317520
696000	510.828270
697000	522.350808
698000	534.716043
699000	547.208543
700000	558.633407
701000	567.927967
702000	574.363128
703000	577.354791
704000	576.419101
705000	571.839044
706000	563.963050
707000	553.326100
708000	541.069526
709000	528.125185
710000	515.391874
711000	504.086451
712000	494.839735
713000	488.205217
714000	484.705600
715000	484.274761
716000	486.735788
717000	491.815622
718000	498.772208
719000	506.799205
720000	515.217225
721000	522.985570
722000	529.364885
723000	533.885800
724000	536.113564
725000	535.895518
726000	533.750544
727000	529.812024
728000	524.920704
729000	519.770546
730000	515.038051
731000	511.305703
732000	509.232065
733000	508.887043
734000	510.453700
735000	513.835443
736000	518.609412
737000	524.292939
738000	530.456447
739000	536.268661
740000	541.245244
741000	545.000815
742000	547.013721
743000	547.254175
744000	545.924620
745000	542.983745
746000	539.153027
747000	534.779815
748000	530.402874
749000	526.502903
750000	523.620993
751000	521.704016
752000	521.136073
753000	521.675867
754000	523.024118
755000	524.902971
756000	526.821731
757000	528.194491
758000	528.706932
759000	528.033928
760000	525.837529
761000	522.422653
762000	517.818973
763000	512.518003
764000	507.026116
765000	502.041131
766000	497.921397
767000	495.456515
768000	494.825524
769000	496.224281
770000	499.761243
771000	505.116293
772000	511.838482
773000	519.499483
774000	527.281081
775000	534.491750
776000	540.552676
777000	544.844855
778000	546.985333
779000	547.016321
780000	544.856568
781000	540.994734
782000	535.912842
783000	530.278753
784000	524.629094
785000	519.819572
786000	516.111112
787000	514.062045
788000	513.786067
789000	515.287350
790000	518.319179
791000	522.621859
792000	527.567500
793000	532.620128
794000	537.192632
795000	540.640682
796000	542.516690
797000	542.612548
798000	540.696930
799000	536.985948
800000	531.844083
801000	525.630295
802000	519.070824
803000	512.776896
804000	507.264856
805000	503.141796
806000	500.729558
807000	500.186129
808000	501.567623
809000	504.661859
810000	509.101859
811000	514.396299
812000	520.074684
813000	525.378814
814000	529.959816
815000	533.235770
816000	535.004010
817000	535.139161
818000	533.781457
819000	531.125906
820000	527.713184
